"Lag","ACF","Variogram"
1,-0.251210217149042,1
2,-0.259154701910127,1.01241675977751
3,-0.0862005962528225,0.877428220909037
4,0.214319959921891,0.612938977638343
5,-0.146904505526583,0.911866489046965
6,0.0294669178643007,0.760267613725021
7,0.0325749967037811,0.743316448013328
8,0.0977787796824406,0.687444212608437
9,-0.183966298276722,0.921922802244309
10,0.106339040644225,0.664446279076102
11,0.0208455549405414,0.723869714239692
12,0.00119309063613032,0.744610842784495
13,-0.0830353373381786,0.813484925274647
14,0.0220543542851782,0.725833150610694
15,0.0332869085076381,0.715316335397758
16,-0.0132953373665816,0.760905688515344
17,-0.0044179655220629,0.757099141460674
18,0.0914737447124243,0.670193972177514
19,-0.156469014042264,0.90822663093487
20,0.0511352531511632,0.714059877872192
21,0.10801688636553,0.660848349616727
22,0.00285188416988514,0.747238648669383
23,-0.0579343447556516,0.797475109733764
24,-0.167871229840597,0.909724499721434
25,0.143239191935946,0.601201716104482
