T,Energy
1,1372.00 
2,1439.00 
3,1499.00 
4,1399.00 
5,1340.00 
6,1018.00 
7,1121.00 
8,1411.00 
9,1560.00 
10,1492.00 
11,1578.00 
12,1709.00 
13,1627.00 
14,1457.00 
15,1536.00 
16,1560.00 
17,1575.00 
18,1431.00 
19,1567.00 
20,1267.00 
21,1421.00 
22,1619.00 
23,1531.00 
24,1592.00 
25,1617.00 
26,1445.00 
27,1598.00 
28,1464.00 
29,1482.00 
30,1514.00 
31,1406.00 
32,1520.00 
33,1560.00 
34,1578.00 
35,1574.00 
36,1550.00 
37,1560.00 
38,1335.00 
39,1626.00 
40,1645.00 
41,1685.00 
42,1617.00 
43,1715.00 
44,1471.00 
45,1607.00 
46,1726.00 
47,1543.00 
48,1731.00 
49,1577.00 
50,1536.00 
51,1632.00 
52,1605.00 
53,1568.00 
54,1541.00 
55,1518.00 
56,1591.00 
57,1459.00 
58,1536.00 
59,1485.00 
60,1470.00 
61,1459.00 
62,1351.00 
63,1471.00 
64,1330.00 
65,1518.00 
66,1377.00 
67,1547.00 
68,1364.00 
69,1086.00 
70,1456.00 
71,1429.00 
72,1450.00 
73,1266.00 
74,1194.00 
75,1290.00 
76,1256.00 
77,1290.00 
78,1258.00 
79,1240.00 
80,1340.00 
81,1159.00 
82,1382.00 
83,1264.00 
84,1231.00 
85,1255.00 
86,1024.00 
87,1242.00 
88,1101.00 
89,1275.00 
90,1138.00 
91,1268.00 
92,1141.00 
93,1085.00 
94,1196.00 
95,1155.00 
96,1156.00 
97,1201.00 
98,1067.00 
99,1140.00 
100,1110.00 
101,1081.00 
102,1066.00 
103,1112.00 
104,1061.00 
105,1129.00 
106,1051.00 
107,925.00 
108,959.00 
109,1095.00 
110,937.00 
111,1014.00 
112,1116.00 
113,1061.00 
114,906.00 
115,1110.00 
116,710.00 
117,1014.00 
118,1080.00 
119,1009.00 
120,1106.00 
121,987.00 
122,791.00 
123,964.00 
124,925.00 
125,1090.00 
126,872.00 
127,937.00 
128,906.00 
129,861.00 
130,859.00 
131,930.00 
132,818.00 
133,826.00 
134,830.00 
135,854.00 
136,867.00 
137,866.00 
138,860.00 
139,853.00 
140,820.00 
141,724.00 
142,824.00 
143,819.00 
144,838.00 
145,787.00 
146,752.00 
147,808.00 
148,764.00 
149,756.00 
150,682.00 
151,741.00 
152,679.00 
153,635.00 
154,720.00 
155,687.00 
156,671.00 
157,675.00 
158,637.00 
159,691.00 
160,659.00 
