,lag,ACF,x_variogram
1,1.0000 ,-0.2652 ,1.0000 
2,2.0000 ,-0.3288 ,0.9663 
3,3.0000 ,0.2652 ,0.3763 
4,4.0000 ,-0.0082 ,0.6052 
5,5.0000 ,-0.0371 ,0.4979 
6,6.0000 ,-0.0063 ,0.4822 
7,7.0000 ,0.0372 ,0.4535 
8,8.0000 ,-0.0046 ,0.5018 
9,9.0000 ,-0.0470 ,0.5528 
10,10.0000 ,0.0351 ,0.4850 
11,11.0000 ,0.0148 ,0.5154 
12,12.0000 ,0.0431 ,0.4980 
13,13.0000 ,-0.0165 ,0.5775 
14,14.0000 ,-0.0674 ,0.6473 
15,15.0000 ,0.0115 ,0.5772 
16,16.0000 ,-0.0162 ,0.6288 
17,17.0000 ,-0.0192 ,0.6523 
18,18.0000 ,0.0295 ,0.6086 
19,19.0000 ,0.0425 ,0.6142 
20,20.0000 ,-0.0266 ,0.7319 
21,21.0000 ,-0.0979 ,0.8565 
22,22.0000 ,-0.0128 ,0.7503 
23,23.0000 ,0.0526 ,0.6810 
24,24.0000 ,-0.0038 ,0.8005 
25,25.0000 ,0.0354 ,0.7713 
